Vote,rank1,rank2,rank3,rank4,rank5,rank6
1392,JASON TAYLOR,skipped,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI
1393,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
1394,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1395,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1396,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1397,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1398,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped,skipped,skipped
1399,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1400,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,skipped
1401,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped
1402,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1403,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1404,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,JOSIE KOVASH,LUKE WOJCIECHOWSKI
1405,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1406,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1407,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1408,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,JASON TAYLOR
1409,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
1410,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped
1411,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1412,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,MIKE MCCURDY
1413,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1414,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
1415,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1416,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1417,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1418,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,skipped,MIKE MCCURDY
1419,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,skipped,skipped
1420,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1421,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES
1422,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped
1423,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH
1424,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,skipped
1425,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1426,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,skipped,ANTHONY CHARLES,LUKE WOJCIECHOWSKI
1427,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1428,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1429,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1430,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped
1431,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,MIKE MCCURDY,JOSIE KOVASH
1432,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1433,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1434,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1435,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1436,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
1437,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1438,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1439,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH,ANTHONY CHARLES
1440,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped,skipped,skipped
1441,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1442,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1443,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1444,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1445,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1446,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1447,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,ANTHONY CHARLES
1448,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1449,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,ANTHONY CHARLES,MIKE MCCURDY,JOSIE KOVASH
1450,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1451,overvote,skipped,skipped,skipped,skipped,skipped
1452,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1453,JASON TAYLOR,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
1454,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1455,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
1456,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1457,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1458,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1459,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1460,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1461,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1462,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1463,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
1464,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped
1465,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1466,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1467,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1468,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1469,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1470,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1471,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1472,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped,skipped,overvote
1473,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1474,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped
1475,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1476,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1477,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
1478,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1479,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1480,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1481,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1482,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,skipped,MIKE MCCURDY
1483,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,JASON TAYLOR
1484,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1485,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,JASON TAYLOR,ANTHONY CHARLES
1486,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,MIKE MCCURDY
1487,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1488,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1489,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
1490,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1491,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES
1492,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1493,MIKE MCCURDY,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES
1494,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1495,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,ANTHONY CHARLES,JASON TAYLOR
1496,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1497,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1498,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1499,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
1500,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY
1501,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped
1502,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1503,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
1504,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped
1505,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1506,JASON TAYLOR,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1507,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,ANTHONY CHARLES,JASON TAYLOR
1508,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY
1509,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES
1510,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1511,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1512,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1513,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1514,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES
1515,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,JASON TAYLOR
1516,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
1517,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1518,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1519,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,JOSIE KOVASH
1520,skipped,skipped,skipped,skipped,skipped,skipped
1521,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,JOSIE KOVASH
1522,JASON TAYLOR,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
1523,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
1524,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1525,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped
1526,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1527,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,JASON TAYLOR,ANTHONY CHARLES
1528,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped
1529,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,skipped,ANTHONY CHARLES
1530,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
1531,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1532,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1533,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,MIKE MCCURDY,JASON TAYLOR
1534,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
1535,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
1536,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,JOSIE KOVASH,LUKE WOJCIECHOWSKI
1537,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1538,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1539,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped
1540,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped
1541,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1542,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1543,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped
1544,MIKE MCCURDY,skipped,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR
1545,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1546,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped
1547,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1548,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,MIKE MCCURDY
1549,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1550,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1551,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1552,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES,MIKE MCCURDY
1553,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1554,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1555,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1556,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1557,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1558,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1559,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped
1560,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped
1561,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1562,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped
1563,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1564,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1565,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1566,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,skipped,MIKE MCCURDY
1567,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1568,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1569,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped
1570,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH,ANTHONY CHARLES
1571,JASON TAYLOR,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY
1572,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1573,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,skipped
1574,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1575,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1576,skipped,skipped,skipped,skipped,skipped,skipped
1577,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1578,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
1579,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1580,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1581,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1582,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1583,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1584,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1585,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1586,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped,skipped,skipped
1587,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1588,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1589,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped
1590,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1591,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES
1592,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1593,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1594,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1595,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped
1596,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1597,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1598,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
1599,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped
1600,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1601,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped
1602,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1603,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped
1604,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1605,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1606,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1607,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,ANTHONY CHARLES
1608,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1609,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1610,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1611,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1612,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1613,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1614,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1615,JOSIE KOVASH,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,skipped
1616,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1617,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped,skipped,skipped
1618,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
1619,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1620,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY
1621,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1622,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,JASON TAYLOR
1623,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
1624,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1625,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped
1626,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
1627,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,MIKE MCCURDY,ANTHONY CHARLES
1628,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped
1629,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1630,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,skipped
1631,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,skipped
1632,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1635,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,ANTHONY CHARLES
1636,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1637,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1638,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1639,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1640,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,skipped
1641,skipped,skipped,skipped,skipped,skipped,skipped
1642,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1643,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1644,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES
1645,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
1646,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
1647,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1648,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1649,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,skipped,MIKE MCCURDY
